star, RMS, RMS_corrected, n_stps, n_harps, n_bad, snr, baseline (yr), logrhk, candidate, trend, activity correction(s), rotation period from age (d), rotation period from activity (d)
HIP1954, 2.7, , 54, 88, 3, 2004.6, 14.0, -4.89548540115,                 False, , , 26.3, 28.0, 
HIP3203, 22.8, 14.6, 34, 34, 0, 1373.1, 6.0, -4.4951467514,                 False, , bis, 7.7, 8.5, 
HIP4909, 15.1, 20.8, 36, 43, 0, 763.8, 13.3, -4.5618891716,                 False, , bis, 8.8, 10.6, 
HIP5301, 20.7, , 1, 39, 2, 433.3, 13.9, -4.97216367722,                 False, , , 34.5, 31.8, 
HIP6407, 5.5, , 7, 7, 0, 269.3, 1.2, -4.71607303619,                 False, linear, , 18.5, 17.8, 
HIP7585, 7.9, 16.9, 44, 46, 1, 1221.3, 12.9, -4.90947437286,                 False, , fwhm, bis, 22.3, 28.0, 
HIP8507, 2.8, , 56, 56, 1, 793.4, 6.1, -4.91842556,                 False, , , 27.4, 28.5, 
HIP9349, 14.3, 11.9, 35, 35, 0, 942.4, 6.0, -4.62798261642,                 False, , shk, bis, 9.3, 12.6, 
HIP10175, 6.3, 7.1, 56, 53, 3, 1046.0, 6.0, -4.75259447098,                 False, , fwhm, bis, 21.8, 19.3, 
HIP10303, 1.6, , 58, 56, 4, 1453.1, 6.1, -5.00939273834,                 False, , , 30.7, 33.4, 
HIP11915, 9.2, 12.0, 56, 74, 1, 938.0, 14.1, -4.86357831955,                 False, , fwhm, 22.8, 25.1, 
HIP14501, 1.6, 1.6, 51, 75, 1, 2110.2, 14.0, -5.01248884201,                 False, linear, fwhm, 39.6, 33.7, 
HIP14614, 1.9, , 30, 35, 1, 988.2, 11.9, -4.92071485519,                 False, sine, , 26.7, 28.1, 
HIP15527, 26.1, , 1, 81, 4, 1912.9, 14.0, -4.93189048767,                 False, , , 35.9, 29.4, 
HIP18844, 1.1, , 9, 9, 1, 533.2, 5.4, -5.02218341827,                 False, linear, , 31.0, 34.1, 
HIP19911, 57.8, 39.3, 7, 7, 0, 491.5, 1.2, -4.60152292252,                 False, curve, fwhm, 28.9, 12.1, 
HIP22263, 13.6, 11.7, 46, 46, 0, 1572.1, 6.0, -4.57449102402,                 False, , shk, fwhm, 9.5, 11.5, 
HIP25670, 3.0, , 60, 62, 2, 1115.8, 6.1, -4.95819425583,                 False, , , 27.6, 30.8, 
HIP28066, 2.6, 5.2, 44, 44, 0, 1245.0, 6.0, -5.02654075623,                 False, , shk, 38.6, 34.2, 
HIP29432, 2.7, 2.4, 50, 49, 2, 1291.9, 6.0, -4.90730857849,                 False, , shk, 28.8, 27.7, 
HIP29525, 13.4, 8.6, 1, 17, 0, 548.5, 12.8, -4.4777803421,                 False, , bis, 12.8, 7.8, 
HIP30037, 2.6, , 26, 26, 1, 503.1, 5.4, -4.94735050201,                 False, keplerian, , 32.4, 29.6, 
HIP30158, 1.4, , 39, 39, 1, 809.2, 5.0, -5.00289869308,                 False, , , 36.4, 32.9, 
HIP30476, 1.8, 2.1, 39, 66, 3, 1853.4, 13.3, -5.03987073898,                 False, , fwhm, 39.3, 34.8, 
HIP30502, 3.1, , 39, 40, 1, 794.1, 7.8, -4.98760509491,                 False, , , 34.0, 32.3, 
HIP33094, 2.6, , 0, 38, 0, 1696.3, 5.0, -5.097240448,                 False, , , 39.0, 37.5, 
HIP34511, 3.0, , 30, 33, 3, 811.6, 12.2, -4.9677438736,                 False, , , 25.1, 31.2, 
HIP36512, 2.5, 2.5, 40, 68, 2, 1508.5, 14.1, -4.95122241974,                 False, , bis, 30.8, 30.2, 
HIP36515, 20.6, 6.3, 7, 17, 0, 924.3, 3.7, -4.40343284607,                 False, , shk, bis, 7.9, 5.4, 
HIP38072, 11.1, 10.0, 27, 27, 0, 539.7, 5.0, -4.4992890358,                 False, , shk, bis, 12.9, 8.4, 
HIP40133, 2.1, 2.2, 33, 33, 1, 1151.0, 5.0, -5.012840271,                 False, , shk, 29.3, 33.4, 
HIP41317, 2.6, , 37, 65, 1, 1438.1, 13.2, -5.00027751923,                 False, , , 35.9, 32.8, 
HIP42333, 22.5, 11.6, 20, 20, 0, 899.3, 5.8, -4.55143642426,                 False, , shk, bis, 12.4, 9.8, 
HIP43297, 31.3, 29.1, 33, 33, 0, 1198.1, 5.8, -4.64270877838,                 False, sine, shk, fwhm, 16.0, 13.5, 
HIP44713, 4.7, 12.5, 0, 82, 0, 1996.5, 12.3, -4.9459400177,                 False, , shk, bis, 36.0, 30.3, 
HIP44935, 2.0, , 30, 31, 1, 619.9, 7.8, -5.01471042633,                 False, , , 32.7, 33.7, 
HIP44997, 1.5, 1.8, 28, 36, 1, 826.4, 11.8, -4.92590236664,                 False, , shk, bis, 32.9, 30.1, 
HIP49756, 2.2, 2.1, 33, 40, 0, 1233.2, 5.0, -4.98518943787,                 False, , fwhm, 26.4, 32.1, 
HIP54102, 6.3, 9.0, 30, 37, 1, 649.3, 13.0, -4.67076206207,                 False, sine, bis, 6.8, 16.7, 
HIP54287, 1.3, , 44, 75, 2, 2037.1, 13.2, -5.03802061081,                 False, , , 32.5, 34.8, 
HIP54582, 2.5, , 36, 66, 1, 1760.4, 13.1, -5.01078081131,                 False, curve, , 34.3, 34.1, 
HIP62039, 1.9, , 34, 39, 2, 1002.6, 5.0, -5.03577375412,                 False, linear, , 32.1, 34.6, 
HIP64150, 2.1, , 36, 36, 0, 1037.2, 5.0, -5.01167917252,                 False, linear, , 32.5, 33.6, 
HIP64673, 2.4, , 41, 38, 3, 877.0, 5.0, -4.99218940735,                 False, , , 31.2, 32.4, 
HIP64713, 2.3, , 39, 39, 1, 649.3, 7.8, -4.97974061966,                 False, , , 28.9, 31.9, 
HIP65708, 71.9, 70.9, 9, 9, 0, 611.7, 1.1, -5.05185890198,                 False, sine, shk, 39.2, 35.5, 
HIP67620, 5.1, , 12, 12, 0, 697.0, 1.1, -4.71900463104,                 False, sine, , 34.7, 18.1, 
HIP68468, 2.3, 2.3, 55, 55, 1, 767.5, 5.0, -5.05609130859,                 False, , fwhm, 29.5, 35.9, 
HIP69645, 2.1, , 37, 37, 0, 619.3, 5.0, -4.97960615158,                 False, , , 29.0, 31.6, 
HIP72043, 10.2, , 34, 34, 0, 1074.7, 5.0, -4.90912723541,                 False, sine, , 32.2, 27.8, 
HIP73241, 9.1, 5.9, 15, 15, 0, 716.0, 1.1, -4.93243694305,                 False, linear, shk, 39.0, 29.8, 
HIP73815, 2.6, 2.2, 33, 38, 0, 899.9, 11.8, -5.00709676743,                 False, , shk, fwhm, 34.5, 33.4, 
HIP74389, 4.2, 2.0, 0, 33, 0, 1074.9, 2.9, -4.88321495056,                 False, , shk, 23.6, 25.9, 
HIP74432, 2.3, 3.9, 36, 34, 2, 1079.4, 4.8, -5.08719062805,                 False, , shk, 38.2, 37.1, 
HIP76114, 5.5, , 32, 32, 2, 1258.0, 4.8, -4.99314594269,                 False, , , 32.8, 32.4, 
HIP77052, 7.1, 5.6, 34, 39, 0, 1191.8, 11.8, -4.77351570129,                 False, , shk, fwhm, bis, 25.2, 20.4, 
HIP77883, 2.3, , 38, 46, 2, 703.0, 7.8, -4.97514724731,                 False, , , 35.4, 32.0, 
HIP79578, 141.6, , 26, 26, 0, 923.0, 4.8, -4.80128860474,                 False, curve, , 26.1, 21.8, 
HIP79715, 3.7, 4.6, 42, 46, 3, 826.2, 11.8, -5.00608158112,                 False, , fwhm, 31.4, 32.8, 
HIP79672, 2.9, 2.4, 45, 164, 0, 2365.3, 13.2, -4.93944311142,                 False, , shk, fwhm, 24.9, 29.5, 
HIP81746, 37.3, , 13, 13, 0, 848.6, 4.8, -5.00399303436,                 False, curve, , 36.9, 33.2, 
HIP83276, 15.3, , 7, 7, 0, 502.1, 4.8, -4.98016023636,                 False, curve, , 32.4, 34.9, 
HIP85042, 2.3, 3.6, 42, 89, 3, 2199.7, 11.0, -5.01547241211,                 False, , shk, 36.1, 33.7, 
HIP87769, 3.7, 3.7, 33, 33, 1, 667.8, 4.2, -4.97194385529,                 False, linear, fwhm, 27.2, 31.2, 
HIP89650, 2.7, , 51, 54, 2, 724.6, 8.4, -5.01079893112,                 False, , , 26.7, 33.6, 
HIP95962, 2.8, 2.5, 43, 76, 5, 1813.0, 12.2, -4.99217939377,                 False, , fwhm, bis, 31.2, 32.5, 
HIP96160, 4.6, 4.9, 51, 51, 0, 783.1, 6.0, -4.85054683685,                 False, , fwhm, 19.2, 24.5, 
HIP101905, 10.0, 5.9, 46, 52, 1, 1463.3, 6.0, -4.76299381256,                 False, , shk, bis, 12.7, 20.0, 
HIP102040, 2.9, , 37, 43, 1, 1322.0, 5.5, -4.91046667099,                 False, , , 18.6, 28.0, 
HIP102152, 2.7, , 72, 73, 3, 810.3, 8.4, -5.01045894623,                 False, , , 38.2, 33.8, 
HIP103983, 6.7, , 9, 9, 0, 308.5, 3.8, -4.83157444,                 False, linear, , 27.7, 24.5, 
HIP104045, 5.4, , 40, 45, 2, 851.8, 11.2, -5.00226593018,                 False, , , 26.5, 33.3, 
HIP105184, 7.6, 4.5, 49, 56, 1, 1412.2, 6.0, -4.67964839935,                 False, , shk, 9.6, 15.5, 
HIP108158, 1.4, , 1, 23, 1, 825.4, 14.0, -4.97531509399,                 False, linear, , 37.0, 32.3, 
HIP108468, 3.9, 3.5, 45, 71, 1, 1867.1, 13.3, -4.95674085617,                 False, , shk, 34.1, 30.6, 
HIP109821, 4.6, 5.6, 1, 55, 4, 2047.2, 14.0, -5.01286745071,                 False, , bis, 38.9, 33.3, 
HIP114328, 2.1, , 25, 25, 1, 541.8, 3.3, -5.01079416275,                 False, , , 33.5, 33.7, 
HIP114615, 6.4, 5.0, 54, 54, 0, 669.0, 6.0, -4.79584264755,                 False, , shk, 11.9, 21.2, 
HIP115577, 1.9, 2.0, 53, 132, 4, 2180.6, 14.0, -5.05337905884,                 False, , fwhm, 38.7, 35.6, 
HIP116906, 22.6, , 0, 28, 1, 1000.3, 9.4, -5.00417327881,                 False, , , 33.1, 32.9, 
HIP117367, 1.9, , 45, 45, 0, 1138.5, 6.0, -5.01718425751,                 False, , , 30.4, 33.7, 
HIP118115, 2.0, , 48, 48, 1, 1099.0, 6.0, -5.02946567535,                 False, , , 36.7, 34.4, 
